,REF_DATE,GEO,Gender,Indicators,Statistics,VALUE
547,2023-04,Quebec,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,13.7
548,2023-07,Quebec,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,13.8
549,2023-10,Quebec,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,16.7
550,2021-04,Quebec,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,28.4
551,2021-07,Quebec,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,25.0
552,2021-10,Quebec,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,26.4
553,2022-01,Quebec,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,26.5
554,2022-04,Quebec,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,25.8
555,2022-07,Quebec,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,26.5
556,2022-10,Quebec,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,28.9
557,2023-04,Quebec,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,23.8
558,2023-07,Quebec,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,25.1
559,2023-10,Quebec,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,26.2
560,2021-04,Quebec,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,49.6
561,2021-07,Quebec,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,62.8
562,2021-10,Quebec,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,60.3
563,2022-01,Quebec,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,58.7
564,2022-04,Quebec,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,60.4
565,2022-07,Quebec,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,62.5
566,2022-10,Quebec,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,55.5
567,2023-04,Quebec,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,62.6
568,2023-07,Quebec,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,61.1
569,2023-10,Quebec,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,57.1
570,2021-04,Quebec,Men,Life satisfaction rating between 0 and 5,Percentage of persons,20.0
571,2021-07,Quebec,Men,Life satisfaction rating between 0 and 5,Percentage of persons,11.3
572,2021-10,Quebec,Men,Life satisfaction rating between 0 and 5,Percentage of persons,12.6
573,2022-01,Quebec,Men,Life satisfaction rating between 0 and 5,Percentage of persons,17.2
574,2022-04,Quebec,Men,Life satisfaction rating between 0 and 5,Percentage of persons,13.9
575,2022-07,Quebec,Men,Life satisfaction rating between 0 and 5,Percentage of persons,11.6
576,2022-10,Quebec,Men,Life satisfaction rating between 0 and 5,Percentage of persons,13.7
577,2023-04,Quebec,Men,Life satisfaction rating between 0 and 5,Percentage of persons,15.1
578,2023-07,Quebec,Men,Life satisfaction rating between 0 and 5,Percentage of persons,14.3
579,2023-10,Quebec,Men,Life satisfaction rating between 0 and 5,Percentage of persons,19.4
580,2021-04,Quebec,Men,Life satisfaction rating of 6 or 7,Percentage of persons,27.1
581,2021-07,Quebec,Men,Life satisfaction rating of 6 or 7,Percentage of persons,24.8
582,2021-10,Quebec,Men,Life satisfaction rating of 6 or 7,Percentage of persons,26.1
583,2022-01,Quebec,Men,Life satisfaction rating of 6 or 7,Percentage of persons,27.6
584,2022-04,Quebec,Men,Life satisfaction rating of 6 or 7,Percentage of persons,26.0
585,2022-07,Quebec,Men,Life satisfaction rating of 6 or 7,Percentage of persons,25.1
586,2022-10,Quebec,Men,Life satisfaction rating of 6 or 7,Percentage of persons,27.9
587,2023-04,Quebec,Men,Life satisfaction rating of 6 or 7,Percentage of persons,24.4
588,2023-07,Quebec,Men,Life satisfaction rating of 6 or 7,Percentage of persons,25.0
589,2023-10,Quebec,Men,Life satisfaction rating of 6 or 7,Percentage of persons,25.8
590,2021-04,Quebec,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,53.0
591,2021-07,Quebec,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,63.9
592,2021-10,Quebec,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,61.3
593,2022-01,Quebec,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,55.2
594,2022-04,Quebec,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,60.1
595,2022-07,Quebec,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,63.3
596,2022-10,Quebec,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,58.4
597,2023-04,Quebec,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,60.6
598,2023-07,Quebec,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,60.7
599,2023-10,Quebec,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,54.9
600,2021-04,Quebec,Women,Life satisfaction rating between 0 and 5,Percentage of persons,24.1
601,2021-07,Quebec,Women,Life satisfaction rating between 0 and 5,Percentage of persons,13.2
602,2021-10,Quebec,Women,Life satisfaction rating between 0 and 5,Percentage of persons,14.0
603,2022-01,Quebec,Women,Life satisfaction rating between 0 and 5,Percentage of persons,12.4
604,2022-04,Quebec,Women,Life satisfaction rating between 0 and 5,Percentage of persons,13.7
605,2022-07,Quebec,Women,Life satisfaction rating between 0 and 5,Percentage of persons,10.4
606,2022-10,Quebec,Women,Life satisfaction rating between 0 and 5,Percentage of persons,17.5
607,2023-04,Quebec,Women,Life satisfaction rating between 0 and 5,Percentage of persons,12.2
608,2023-07,Quebec,Women,Life satisfaction rating between 0 and 5,Percentage of persons,13.4
609,2023-10,Quebec,Women,Life satisfaction rating between 0 and 5,Percentage of persons,14.0
610,2021-04,Quebec,Women,Life satisfaction rating of 6 or 7,Percentage of persons,29.7
611,2021-07,Quebec,Women,Life satisfaction rating of 6 or 7,Percentage of persons,25.2
612,2021-10,Quebec,Women,Life satisfaction rating of 6 or 7,Percentage of persons,26.7
613,2022-01,Quebec,Women,Life satisfaction rating of 6 or 7,Percentage of persons,25.5
614,2022-04,Quebec,Women,Life satisfaction rating of 6 or 7,Percentage of persons,25.6
615,2022-07,Quebec,Women,Life satisfaction rating of 6 or 7,Percentage of persons,28.0
616,2022-10,Quebec,Women,Life satisfaction rating of 6 or 7,Percentage of persons,29.9
617,2023-04,Quebec,Women,Life satisfaction rating of 6 or 7,Percentage of persons,23.2
618,2023-07,Quebec,Women,Life satisfaction rating of 6 or 7,Percentage of persons,25.2
619,2023-10,Quebec,Women,Life satisfaction rating of 6 or 7,Percentage of persons,26.7
620,2021-04,Quebec,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,46.2
621,2021-07,Quebec,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,61.6
622,2021-10,Quebec,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,59.3
623,2022-01,Quebec,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,62.2
624,2022-04,Quebec,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,60.7
625,2022-07,Quebec,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,61.6
626,2022-10,Quebec,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,52.6
627,2023-04,Quebec,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,64.6
628,2023-07,Quebec,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,61.5
629,2023-10,Quebec,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,59.3
630,2021-04,Ontario,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,31.2
631,2021-07,Ontario,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,19.7
632,2021-10,Ontario,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,19.6
633,2022-01,Ontario,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,21.9
634,2022-04,Ontario,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,21.9
635,2022-07,Ontario,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,17.4
636,2022-10,Ontario,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,27.7
637,2023-04,Ontario,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,22.8
638,2023-07,Ontario,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,23.3
639,2023-10,Ontario,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,27.4
640,2021-04,Ontario,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,31.6
641,2021-07,Ontario,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,29.9
642,2021-10,Ontario,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,30.1
643,2022-01,Ontario,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,29.7
644,2022-04,Ontario,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,30.6
645,2022-07,Ontario,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,29.7
646,2022-10,Ontario,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,31.3
647,2023-04,Ontario,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,29.6
648,2023-07,Ontario,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,30.1
649,2023-10,Ontario,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,28.4
650,2021-04,Ontario,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,37.2
651,2021-07,Ontario,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,50.4
652,2021-10,Ontario,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,50.3
653,2022-01,Ontario,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,48.4
654,2022-04,Ontario,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,47.5
655,2022-07,Ontario,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,52.9
656,2022-10,Ontario,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,41.0
657,2023-04,Ontario,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,47.6
658,2023-07,Ontario,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,46.7
659,2023-10,Ontario,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,44.3
660,2021-04,Ontario,Men,Life satisfaction rating between 0 and 5,Percentage of persons,26.4
661,2021-07,Ontario,Men,Life satisfaction rating between 0 and 5,Percentage of persons,17.6
662,2021-10,Ontario,Men,Life satisfaction rating between 0 and 5,Percentage of persons,20.0
663,2022-01,Ontario,Men,Life satisfaction rating between 0 and 5,Percentage of persons,20.6
664,2022-04,Ontario,Men,Life satisfaction rating between 0 and 5,Percentage of persons,21.6
665,2022-07,Ontario,Men,Life satisfaction rating between 0 and 5,Percentage of persons,17.9
666,2022-10,Ontario,Men,Life satisfaction rating between 0 and 5,Percentage of persons,27.2
667,2023-04,Ontario,Men,Life satisfaction rating between 0 and 5,Percentage of persons,24.7
668,2023-07,Ontario,Men,Life satisfaction rating between 0 and 5,Percentage of persons,23.7
669,2023-10,Ontario,Men,Life satisfaction rating between 0 and 5,Percentage of persons,27.7
670,2021-04,Ontario,Men,Life satisfaction rating of 6 or 7,Percentage of persons,33.3
671,2021-07,Ontario,Men,Life satisfaction rating of 6 or 7,Percentage of persons,31.5
672,2021-10,Ontario,Men,Life satisfaction rating of 6 or 7,Percentage of persons,29.2
673,2022-01,Ontario,Men,Life satisfaction rating of 6 or 7,Percentage of persons,29.8
674,2022-04,Ontario,Men,Life satisfaction rating of 6 or 7,Percentage of persons,31.7
675,2022-07,Ontario,Men,Life satisfaction rating of 6 or 7,Percentage of persons,30.3
676,2022-10,Ontario,Men,Life satisfaction rating of 6 or 7,Percentage of persons,31.4
677,2023-04,Ontario,Men,Life satisfaction rating of 6 or 7,Percentage of persons,27.2
678,2023-07,Ontario,Men,Life satisfaction rating of 6 or 7,Percentage of persons,28.6
679,2023-10,Ontario,Men,Life satisfaction rating of 6 or 7,Percentage of persons,26.5
680,2021-04,Ontario,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,40.4
681,2021-07,Ontario,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,50.8
682,2021-10,Ontario,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,50.9
683,2022-01,Ontario,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,49.6
684,2022-04,Ontario,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,46.7
685,2022-07,Ontario,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,51.8
686,2022-10,Ontario,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,41.4
687,2023-04,Ontario,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,48.1
688,2023-07,Ontario,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,47.7
689,2023-10,Ontario,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,45.8
690,2021-04,Ontario,Women,Life satisfaction rating between 0 and 5,Percentage of persons,35.8
691,2021-07,Ontario,Women,Life satisfaction rating between 0 and 5,Percentage of persons,21.6
692,2021-10,Ontario,Women,Life satisfaction rating between 0 and 5,Percentage of persons,19.2
693,2022-01,Ontario,Women,Life satisfaction rating between 0 and 5,Percentage of persons,23.2
694,2022-04,Ontario,Women,Life satisfaction rating between 0 and 5,Percentage of persons,22.1
695,2022-07,Ontario,Women,Life satisfaction rating between 0 and 5,Percentage of persons,16.9
696,2022-10,Ontario,Women,Life satisfaction rating between 0 and 5,Percentage of persons,28.1
697,2023-04,Ontario,Women,Life satisfaction rating between 0 and 5,Percentage of persons,21.0
698,2023-07,Ontario,Women,Life satisfaction rating between 0 and 5,Percentage of persons,22.8
699,2023-10,Ontario,Women,Life satisfaction rating between 0 and 5,Percentage of persons,27.1
700,2021-04,Ontario,Women,Life satisfaction rating of 6 or 7,Percentage of persons,30.0
701,2021-07,Ontario,Women,Life satisfaction rating of 6 or 7,Percentage of persons,28.4
702,2021-10,Ontario,Women,Life satisfaction rating of 6 or 7,Percentage of persons,31.1
703,2022-01,Ontario,Women,Life satisfaction rating of 6 or 7,Percentage of persons,29.6
704,2022-04,Ontario,Women,Life satisfaction rating of 6 or 7,Percentage of persons,29.5
705,2022-07,Ontario,Women,Life satisfaction rating of 6 or 7,Percentage of persons,29.0
706,2022-10,Ontario,Women,Life satisfaction rating of 6 or 7,Percentage of persons,31.3
707,2023-04,Ontario,Women,Life satisfaction rating of 6 or 7,Percentage of persons,31.9
708,2023-07,Ontario,Women,Life satisfaction rating of 6 or 7,Percentage of persons,31.5
709,2023-10,Ontario,Women,Life satisfaction rating of 6 or 7,Percentage of persons,30.2
710,2021-04,Ontario,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,34.2
711,2021-07,Ontario,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,49.9
712,2021-10,Ontario,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,49.8
713,2022-01,Ontario,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,47.2
714,2022-04,Ontario,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,48.4
715,2022-07,Ontario,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,54.0
716,2022-10,Ontario,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,40.6
717,2023-04,Ontario,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,47.2
718,2023-07,Ontario,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,45.7
719,2023-10,Ontario,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,42.8
720,2021-04,Prairies Region,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,29.4
721,2021-07,Prairies Region,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,18.6
722,2021-10,Prairies Region,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,22.1
723,2022-01,Prairies Region,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,18.5
724,2022-04,Prairies Region,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,18.8
725,2022-07,Prairies Region,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,18.8
726,2022-10,Prairies Region,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,23.7
727,2023-04,Prairies Region,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,22.5
728,2023-07,Prairies Region,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,20.2
729,2023-10,Prairies Region,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,25.4
730,2021-04,Prairies Region,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,30.6
731,2021-07,Prairies Region,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,29.0
732,2021-10,Prairies Region,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,29.6
733,2022-01,Prairies Region,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,28.8
734,2022-04,Prairies Region,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,28.4
735,2022-07,Prairies Region,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,28.7
736,2022-10,Prairies Region,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,32.1
737,2023-04,Prairies Region,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,30.1
738,2023-07,Prairies Region,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,29.6
739,2023-10,Prairies Region,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,29.2
740,2021-04,Prairies Region,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,39.9
741,2021-07,Prairies Region,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,52.5
742,2021-10,Prairies Region,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,48.3
743,2022-01,Prairies Region,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,52.8
744,2022-04,Prairies Region,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,52.8
745,2022-07,Prairies Region,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,52.6
746,2022-10,Prairies Region,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,44.2
747,2023-04,Prairies Region,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,47.4
748,2023-07,Prairies Region,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,50.2
749,2023-10,Prairies Region,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,45.4
750,2021-04,Prairies Region,Men,Life satisfaction rating between 0 and 5,Percentage of persons,25.6
751,2021-07,Prairies Region,Men,Life satisfaction rating between 0 and 5,Percentage of persons,18.1
752,2021-10,Prairies Region,Men,Life satisfaction rating between 0 and 5,Percentage of persons,19.6
753,2022-01,Prairies Region,Men,Life satisfaction rating between 0 and 5,Percentage of persons,19.2
754,2022-04,Prairies Region,Men,Life satisfaction rating between 0 and 5,Percentage of persons,18.2
755,2022-07,Prairies Region,Men,Life satisfaction rating between 0 and 5,Percentage of persons,16.3
756,2022-10,Prairies Region,Men,Life satisfaction rating between 0 and 5,Percentage of persons,22.2
757,2023-04,Prairies Region,Men,Life satisfaction rating between 0 and 5,Percentage of persons,21.8
758,2023-07,Prairies Region,Men,Life satisfaction rating between 0 and 5,Percentage of persons,22.6
759,2023-10,Prairies Region,Men,Life satisfaction rating between 0 and 5,Percentage of persons,24.8
760,2021-04,Prairies Region,Men,Life satisfaction rating of 6 or 7,Percentage of persons,31.8
761,2021-07,Prairies Region,Men,Life satisfaction rating of 6 or 7,Percentage of persons,29.6
762,2021-10,Prairies Region,Men,Life satisfaction rating of 6 or 7,Percentage of persons,29.6
763,2022-01,Prairies Region,Men,Life satisfaction rating of 6 or 7,Percentage of persons,26.6
764,2022-04,Prairies Region,Men,Life satisfaction rating of 6 or 7,Percentage of persons,28.5
765,2022-07,Prairies Region,Men,Life satisfaction rating of 6 or 7,Percentage of persons,26.9
766,2022-10,Prairies Region,Men,Life satisfaction rating of 6 or 7,Percentage of persons,31.5
767,2023-04,Prairies Region,Men,Life satisfaction rating of 6 or 7,Percentage of persons,31.7
768,2023-07,Prairies Region,Men,Life satisfaction rating of 6 or 7,Percentage of persons,26.3
769,2023-10,Prairies Region,Men,Life satisfaction rating of 6 or 7,Percentage of persons,29.0
770,2021-04,Prairies Region,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,42.5
771,2021-07,Prairies Region,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,52.3
772,2021-10,Prairies Region,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,50.7
773,2022-01,Prairies Region,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,54.2
774,2022-04,Prairies Region,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,53.4
775,2022-07,Prairies Region,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,56.8
776,2022-10,Prairies Region,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,46.3
777,2023-04,Prairies Region,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,46.5
778,2023-07,Prairies Region,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,51.0
779,2023-10,Prairies Region,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,46.2
780,2021-04,Prairies Region,Women,Life satisfaction rating between 0 and 5,Percentage of persons,33.2
781,2021-07,Prairies Region,Women,Life satisfaction rating between 0 and 5,Percentage of persons,19.0
782,2021-10,Prairies Region,Women,Life satisfaction rating between 0 and 5,Percentage of persons,24.5
783,2022-01,Prairies Region,Women,Life satisfaction rating between 0 and 5,Percentage of persons,17.8
784,2022-04,Prairies Region,Women,Life satisfaction rating between 0 and 5,Percentage of persons,19.5
785,2022-07,Prairies Region,Women,Life satisfaction rating between 0 and 5,Percentage of persons,21.2
786,2022-10,Prairies Region,Women,Life satisfaction rating between 0 and 5,Percentage of persons,25.2
787,2023-04,Prairies Region,Women,Life satisfaction rating between 0 and 5,Percentage of persons,23.3
788,2023-07,Prairies Region,Women,Life satisfaction rating between 0 and 5,Percentage of persons,17.8
789,2023-10,Prairies Region,Women,Life satisfaction rating between 0 and 5,Percentage of persons,26.1
790,2021-04,Prairies Region,Women,Life satisfaction rating of 6 or 7,Percentage of persons,29.5
791,2021-07,Prairies Region,Women,Life satisfaction rating of 6 or 7,Percentage of persons,28.4
792,2021-10,Prairies Region,Women,Life satisfaction rating of 6 or 7,Percentage of persons,29.6
793,2022-01,Prairies Region,Women,Life satisfaction rating of 6 or 7,Percentage of persons,30.9
794,2022-04,Prairies Region,Women,Life satisfaction rating of 6 or 7,Percentage of persons,28.2
795,2022-07,Prairies Region,Women,Life satisfaction rating of 6 or 7,Percentage of persons,30.4
796,2022-10,Prairies Region,Women,Life satisfaction rating of 6 or 7,Percentage of persons,32.7
797,2023-04,Prairies Region,Women,Life satisfaction rating of 6 or 7,Percentage of persons,28.4
798,2023-07,Prairies Region,Women,Life satisfaction rating of 6 or 7,Percentage of persons,32.9
799,2023-10,Prairies Region,Women,Life satisfaction rating of 6 or 7,Percentage of persons,29.4
800,2021-04,Prairies Region,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,37.3
801,2021-07,Prairies Region,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,52.7
802,2021-10,Prairies Region,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,45.9
803,2022-01,Prairies Region,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,51.3
804,2022-04,Prairies Region,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,52.2
805,2022-07,Prairies Region,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,48.4
806,2022-10,Prairies Region,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,42.1
807,2023-04,Prairies Region,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,48.3
808,2023-07,Prairies Region,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,49.3
809,2023-10,Prairies Region,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,44.6
810,2021-04,Manitoba,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,27.5
811,2021-07,Manitoba,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,17.3
812,2021-10,Manitoba,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,20.0
813,2022-01,Manitoba,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,16.6
814,2022-04,Manitoba,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,18.6
815,2022-07,Manitoba,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,19.7
816,2022-10,Manitoba,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,22.2
817,2023-04,Manitoba,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,19.6
818,2023-07,Manitoba,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,20.8
819,2023-10,Manitoba,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,25.9
820,2021-04,Manitoba,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,28.9
821,2021-07,Manitoba,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,27.3
822,2021-10,Manitoba,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,31.2
823,2022-01,Manitoba,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,27.3
824,2022-04,Manitoba,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,27.7
825,2022-07,Manitoba,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,24.5
826,2022-10,Manitoba,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,30.6
827,2023-04,Manitoba,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,27.3
828,2023-07,Manitoba,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,28.4
829,2023-10,Manitoba,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,25.6
830,2021-04,Manitoba,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,43.6
831,2021-07,Manitoba,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,55.4
832,2021-10,Manitoba,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,48.8
833,2022-01,Manitoba,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,56.1
834,2022-04,Manitoba,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,53.7
835,2022-07,Manitoba,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,55.8
836,2022-10,Manitoba,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,47.2
837,2023-04,Manitoba,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,53.0
